num_threads,keys,value_size,rdbcompression,rdbchecksum,actual_throughput_mb_s,rdb_file_size_bytes,load_duration_seconds,avg_cpu_percent,avg_memory_rss_bytes,total_disk_read_bytes,total_disk_write_bytes,cpu_user_time_seconds,cpu_system_time_seconds,memory_rss_bytes_final,status,flamegraph_generated
1,3.0,5000,yes,yes,180.8219255420045,13536510168,74.861,89.86133333333333,7792330615.466666,13476937728,4096,53.82,14.12,15663984640,ok,False
2,3.0,5000,yes,yes,316.19233767022496,13536510168,42.811,151.99418604651163,7832796040.930233,13487292416,0,52.37,13.75,15694888960,ok,False
3,3.0,5000,yes,yes,401.9153850356294,13536510168,33.68,238.03823529411767,7876865024.0,13478641664,4096,66.18,15.56,15680716800,ok,False
4,3.0,5000,yes,yes,393.0575849472981,13536510168,34.439,336.9579710144927,7736902581.797101,13380337664,0,102.87,15.0,15679004672,ok,False
6,3.0,5000,yes,yes,393.7092131929498,13536510168,34.382,534.6695652173913,7745880064.0,13395542016,4096,171.93,14.78,15678992384,ok,False
8,3.0,5000,yes,yes,397.04661273575215,13536510168,34.093,731.295652173913,7804774904.57971,13517438976,0,237.91,15.52,15675445248,ok,False
10,3.0,5000,yes,yes,387.0560194435708,13536510168,34.973,928.1338028169014,7845901557.183099,13536514048,8192,313.99,16.25,15681650688,ok,False
15,3.0,5000,yes,yes,365.4565380129589,13536510168,37.04,1428.0666666666666,7857700481.706667,13536514048,0,517.91,18.72,15681249280,ok,False
1,3.0,5000,no,yes,266.7862307705934,15060082727,56.45,47.982300884955755,7680741774.725664,14946648064,4096,12.93,14.47,15664852992,ok,False
2,3.0,5000,no,yes,421.0137465265159,15060082727,35.771,136.59305555555557,7855829560.888889,14972338176,4096,35.62,14.17,15675949056,ok,False
3,3.0,5000,no,yes,415.85207032997374,15060082727,36.215,236.26986301369865,7793734698.082191,14978629632,0,73.44,13.64,15670988800,ok,False
4,3.0,5000,no,yes,415.65695316294983,15060082727,36.232,334.2082191780822,7894543317.917809,14974435328,4096,108.99,14.09,15675985920,ok,False
6,3.0,5000,no,yes,399.7367678035833,15060082727,37.675,533.9513157894737,7817909355.789474,15007727616,0,188.69,15.54,15676493824,ok,False
8,3.0,5000,no,yes,402.8267995238859,15060082727,37.386,732.9346666666667,7768158590.293333,14920433664,4096,262.23,15.65,15676592128,ok,False
10,3.0,5000,no,yes,394.43919035646,15060082727,38.181,930.487012987013,7876220901.402597,15008514048,0,343.58,16.72,15675068416,ok,False
15,3.0,5000,no,yes,378.7366141987727,15060082727,39.764,1426.83625,7837904179.2,14984658944,0,556.71,18.08,15677038592,ok,False
